Area (m2),Frontage (m),Access Road (m) ,Floors,Bedrooms,Bathrooms,Price (B VND)
432,15,,1,1,,3.2
100,,,2,3,3,3.5
97.8,,,,,,4.1
94,4.7,10,1,,,9.3
180,10,7,4,4,5,6.9
82,4.1,12,2,2,,8.2
42,4.5,3,4,3,3,5.4
60,4,8,2,2,2,6.4
52,4,7,4,6,6,7.2
48,4,4,4,,,5.7
56.3,4,4,2,2,2,5.2
60,5,,2,2,2,5.3
38,3.5,2.7,5,4,3,5.96
73.2,,6,3,3,4,8
115.6,6.3,5,2,6,2,9.3
379,11.5,4,,4,2,2.3
74,4,5,1,2,,6.5
67.2,4,15,,2,,10
92,,,1,6,6,8.2
36,4,4,4,3,4,5.25
82,,,,,,6.9
70,8,,,,,5.9
98,6.6,,3,3,,6
57.1,4.5,8,3,5,3,9
40,3.8,,5,,,5.9
48,4,,3,,,4.6
48,,,4,4,,8
75,,,,2,2,2.8
29,,,2,2,2,2.9
31,,2,5,3,4,4.96
100,,,3,,,3.2
90,,,3,6,4,8.5
80,4,4,1,2,2,3.8
60,4,5,2,2,2,4.8
60,5,,2,3,3,3.2
45,5.3,4,2,3,2,4.5
80,5.6,6,3,3,4,7.39
60.75,4.5,5,5,4,4,6.6
60,,,4,5,6,6.8
36,4,40,3,3,2,8.8
79,4,22,3,4,3,6.3
300,,,4,5,,6.5
134.5,,,,,,9
30,3.5,,4,2,2,4.29
32,,,4,4,,6.7
40,4,6,3,5,5,5.5
42,,,5,,,5.9
40,4,6,2,2,2,2.4
37,4.2,,5,4,4,7.5
100.5,5,6,2,3,2,2.2
103,5,16.5,3,4,3,8.3
100,,,2,,,5.4
52,4,6,5,4,5,7.55
25,3,5,2,2,2,2.4
73,4.3,,,1,2,2.65
52,,,4,5,4,7.7
120,6,23,3,,,8.8
64,4,,2,,,4.99
86,5,,,,,5.3
35,,,5,,,4.78
21,6,4,2,2,2,1.66
52,4,5,3,4,2,4.85
47,,,,,,9.6
48,,,3,4,,5.5
40,4,3,5,6,,6.46
60,,,,4,6,6.5
55,,8,3,4,3,2.4
56.1,5.6,6,4,4,5,8
101,,3.5,,2,2,5.1
27,3,,1,3,2,3.15
54.1,4.15,,5,3,4,7.4
64,4,,2,3,2,4.9
27,,,2,,2,1.7
39,4,,5,,,5.5
71,4.5,,2,4,4,6.3
55,4,5,5,4,4,9.3
48,4,3,6,5,5,6
80,,12,3,3,3,7.3
160,8,,,4,4,6.15
112,8,12,3,4,5,7.2
50,4,7,3,4,5,5.5
39,3.8,,5,,,6.3
55.3,4.35,4,3,4,3,6.4
29,,,3,5,3,6.2
48,4,8,3,3,3,5.5
73,,,4,7,7,7.4
70,4,5,3,3,3,5.2
90,6,5.5,2,3,2,3.5
35,4.3,,5,3,4,6.6
74,4.5,,,2,,5.8
32,4,4,2,2,2,3.95
50,,,,,,6.39
40,8,6,4,6,5,7.8
58.5,7.8,,3,3,3,4.3
80,5,12,2,4,2,6.2
56,3.9,3,4,4,3,3.1
35,5,2,1,2,1,3.1
46,4,40,4,4,3,7.95
90,4.5,5,1,2,1,3.55
31,4,2.5,2,2,2,3.35
168,7,60,,,,5.2
50,,,3,3,2,5.99
50,6.1,,,,,9.8
55,,,4,6,5,8.9
40,4,4.5,5,5,,6.9
93.9,14,30,4,4,4,4.6
36,4,4,2,2,2,4.45
80,4,4,2,3,2,8.4
50,,,,,,4.4
35,4.42,8,6,,,7.9
64,4,8,2,2,2,7.1
57,,,3,4,4,6.8
40,4.5,10,6,4,5,6.9
80,5,7,2,3,2,1.55
48,4.5,,5,4,4,6
100,,,2,4,4,3.8
80,4,8,3,3,2,8.95
61,5,3,2,3,2,2.85
36,5,,1,2,2,3
40,3.4,,5,4,,7.2
90,,12,4,4,5,6.55
72,,14,1,2,1,8.9
148,6,5,,,,6.25
82,5,,3,4,3,8.2
40,5,5,3,3,3,3.2
36,2.5,,2,2,2,3.75
46,,,4,,,8.8
34,,4,5,3,4,5.5
140,6,7,2,,,7
79.5,5.3,13,3,,3,2.9
202,13,10,1,6,5,9
61,,,2,2,3,8.1
32,4,5,5,3,4,5.6
45,3.8,,4,4,2,4
75,5,22,2,4,4,2.7
20,3.2,3,2,2,2,3.45
7,,3,3,2,1,1.75
40,4,4,7,6,6,9.8
33,3.48,,4,4,3,3.88
100,5,8,1,1,1,6.9
45,,,6,3,,8.25
30,3.6,,6,4,5,5.7
52,4,5,4,5,6,5.5
50,,6,4,4,5,5.6
60,,,4,,,6
56.5,12,12,4,4,4,6.1
30,,,4,,,4.65
34,3.6,,4,3,,4.5
74,4,,,,,8.6
45,4,2,4,3,3,1.8
70,5,,,,,1.45
67,,,1,2,2,4.6
58,,,,,,2.7
55,4.2,,4,3,3,9
60,4,6,4,5,5,4.69
57,4,4,4,4,3,6
75,5,,3,3,3,6.6
53,3.5,4,3,3,3,3.7
90,5,,3,3,4,7
50,,,,,,8.9
30,3,6,1,1,1,1.88
70,6,,3,3,3,6.5
164.5,6.82,3,,,,1.05
32,3.2,5,4,4,3,7.5
41,,,1,,,7
91.7,5,12,,,,7.8
21.7,4,,2,2,2,2.4
40,,,6,3,4,6.4
46,4,4,2,2,3,5.1
33,,,5,3,,6.5
51.7,6,2.5,2,4,2,2.4
48.8,4,5,2,3,2,6.4
58,4,7,3,4,3,4.75
50,5,12,3,3,3,5.3
74,,5,2,3,2,5.15
72,4,8,4,4,4,5.45
19.5,6,3,2,2,2,2.8
40,7,2.5,2,3,,3.8
60,5,8,3,3,3,4.44
80,6,67,5,8,5,4.8
29.3,6,6,2,2,2,3.75
32,4,3,3,2,2,3.7
36,3.6,2,5,3,4,5.72
80.3,7.3,6,3,4,5,6.4
100,5,12,3,3,4,4.3
98,5.1,8,2,3,2,10
60,5.5,2,,2,2,4.79
50,4.3,,5,4,3,4.8
60,5,5,4,4,4,6.29
26,,5,5,3,4,7.98
40,,,5,4,,4
32,4.1,,5,3,4,5.9
56,,,5,4,,8.5
72,4.5,5,1,3,1,3.35
55,5,10,4,4,5,6.77
70,5,7,3,4,5,6.49
501,7.15,7,1,2,2,3
64,,,4,,,8.5
44,4,3,2,2,2,5.1
90,,,2,4,3,3.1
150,,,2,4,4,6
25,3.5,,4,3,,3.85
25,3.4,,3,2,1,3.6
40,,,5,4,,4
50,4.3,4,4,4,4,7.1
50,4,5,4,4,3,6.8
24,,,5,3,4,6.1
66,5.7,8,5,4,3,9.3
42,,,5,,,4.6
38,5.8,2,3,3,3,2.2
90,5,4,1,2,2,4
42,4.5,4,4,4,3,7.9
150,5.5,,,2,2,8.2
46,6,,4,4,3,8.4
56,4,3,2,3,,4.5
85,9.5,12,2,3,3,4.75
120,5,,,,,6.8
34.7,,,2,4,3,2.5
46,4.5,3,5,4,4,6.25
61,4,6,4,3,4,3.5
40,,,,,,7
50,4.5,6,4,3,5,8.25
60,4,10,3,4,5,7.1
87,9,6,4,5,5,6.5
50.6,,6,3,4,3,5.2
100,,,4,4,5,7.5
32.5,,,5,3,4,7.9
50,,,3,2,3,9.5
55,4.2,10,4,4,4,7.49
52,4,3,3,3,3,1.88
40,,,4,3,3,3.6
35,4,3.5,5,4,4,3.35
32,4,3,5,4,3,2.7
35,4.5,3,5,4,4,5.25
45,5,3,6,4,4,9.6
65,,,5,5,6,8.45
49,,,5,8,,8.2
300,,,,,,3.25
110,6,,5,7,7,5.2
31,4,3,5,3,4,2.95
70,5.5,,5,5,6,6.49
40,5,,5,3,4,7.4
195,8.7,12,,2,2,2.6
38,4.68,,4,3,3,7
44,,,4,3,3,9
29,5.8,,5,3,4,7.2
22,4.8,,5,3,4,9.8
35,5,3,5,4,4,7.5
31,4.6,,5,3,4,4.85
30,3.5,2.5,4,2,,4.7
30,5,2.5,5,3,4,5.3
53,8,8,3,4,4,5.2
53,4,10,4,4,5,6.8
50,,,5,8,8,8.6
70,,7,4,5,5,8.25
32,3.6,,4,3,,3.7
95,5,30,4,4,3,5.8
68.4,,6,3,4,5,8.5
50.1,,8,3,4,5,5.25
55.4,,,2,2,,3.75
40,4,6,3,4,3,5.9
120,8,5,2,8,8,4.5
60,4,3,2,4,2,1.89
33,,,2,2,2,4.3
36,3.5,,4,4,,3.9
48,4.8,4,5,4,5,8
26,,,,2,,1.75
52.1,4.2,5,2,2,2,4.9
39,4,5,4,3,4,8
60,,,2,3,2,5.6
79,,,,3,,4.05
51,4,6,4,4,3,9.2
37,3.11,5,4,4,4,4.18
66,4,5,5,4,5,9.25
42,,,6,4,4,9.6
60,,,3,3,3,4.9
211,7.8,10.5,2,,,8
76,3,3,,1,1,1.68
60,4,68,5,,,4.5
40,,,6,2,4,6
90,,,2,2,2,4.8
36,,,4,5,3,6.7
35,,,4,,,7.5
64,4,6,4,4,5,8.5
30,,,5,,,8.75
35,4,3.5,4,5,4,7.8
137.82,,,2,,,5.15
200,5.5,5,2,2,2,9.5
52,,,4,4,2,10
130,5.5,,1,1,1,4.7
45,4.5,3,5,6,4,5.5
40,4,3,4,4,4,4.2
76,4,5.5,3,4,3,5.7
35,,,5,4,4,3.9
90,5,7.5,3,3,3,5.9
66,,20,2,,,5.3
70,,,3,3,3,7.3
85,5,7,1,2,2,8
45,3,,2,2,2,8.2
80,5,7.5,3,3,3,5.95
50,5,3,5,6,5,9
60,5,8,4,4,5,9.1
42,5.5,,5,4,4,7.8
85,5,5,1,2,1,1.65
50,4,4,5,6,7,7
26,,5,2,2,2,1.68
35,3.5,4,5,4,4,4.9
68,,,3,5,4,7.45
60,7,,3,3,3,4.99
93.6,,,,4,3,9.1
85,5,,2,3,3,4.3
50,4,3,3,4,3,6.65
100,5,5.5,1,3,2,5.2
55,5.3,,3,3,3,4.9
90,,,3,3,3,3.9
82.5,5,,3,3,3,7
48,,,1,,1,2.47
52,5,,3,3,3,5.5
66,,,2,2,3,9.5
34,,,4,3,4,5.2
102.7,6,3,1,2,1,3.2
43,,,5,7,6,6.3
82.5,5,5.5,2,2,2,4.1
36,,,5,3,4,4
101,5,7,2,2,2,7.2
135,,,,,,8.5
75,5,5.5,2,3,3,5.5
31,3,2.5,3,3,2,2.5
100,5,10,2,,,2.3
52,,,3,4,5,5.9
61,4.3,6,3,2,2,3.6
250,11.5,30,3,5,6,9.52
140,7,12,3,4,4,8
30,5,3,5,4,4,4.45
33.5,,,5,3,4,6.15
48.6,,,,,,5.6
48,4.4,4.5,2,2,2,7.8
68,6.8,,2,3,3,5.1
68,4.2,3,,,,7.1
68,,,4,3,4,9
120,,7.5,2,3,2,2.75
41.5,5,,5,4,4,5.75
30,3.1,5,5,2,2,7.98
60,9.2,,6,,,9
72,6,17,3,3,3,1.79
120,4.9,,2,,,9.5
78.5,5,11.5,4,,,5.9
50,,,4,4,5,6.65
35,4,3,5,4,4,6.6
100,5,12,4,7,6,5.9
224,7.8,,1,,,2.5
100,6,,5,6,6,9.8
105,7.1,,1,2,1,5.7
95,5.3,,3,4,4,9.6
61,4.5,4.5,4,3,3,4.69
65,4.5,10,2,2,2,2.2
88.8,,,4,,,9.6
100,5,10.5,1,3,1,4.9
34,,,,,,4.2
84,4.2,,5,4,4,8.5
186,10,4,2,4,4,8
60,5,13.5,,2,1,2.45
21.76,,,2,2,2,3.45
92,,,,,,1.47
32,,4,4,4,3,4.2
60,3.8,3,5,4,4,6.95
100,,,4,7,7,7.75
44,,,5,3,,6.8
55,,,,,,2.95
568.9,10,4,2,3,1,1.2
115,6.2,,1,1,1,5.9
31,3.8,4,5,3,4,4.05
150,5.5,,,,,10
180,4,8,2,5,2,4.5
120,6.2,5,1,,,5.9
44,,,4,,,4.6
80.5,5.1,5,2,2,2,2.95
30,,,2,2,2,3.15
27.5,,,2,2,2,2.55
100,5,17,5,7,7,6
42,3.5,,5,5,5,7.98
97,,,,1,,5.4
120,6,7,3,3,3,3.2
80,5,,4,5,5,8.5
45,,,5,9,9,7.7
60,4.5,6,2,3,2,5.6
40,4,,3,4,3,4.9
44,4,4,5,6,4,6
40,6.2,,3,,,4.5
120,5,,2,3,3,4.55
45,5,3.75,2,2,2,4.35
45,3.6,5,5,6,7,8.8
153,6.15,,3,3,4,8
38,5.6,3,6,4,5,8.8
30,4,3,4,4,4,4.15
60,4,5.5,2,3,3,4.8
62.5,,,,,,2.7
54,5,2,5,6,4,8.1
125,5,,2,3,2,5.3
108.6,,,2,,,5.8
43,4,3,6,,,6.7
80,5,54,6,,,5
226,,,,,,7.9
68,4,12,1,,,7.95
92,,,2,1,1,3.1
90,,,,,,3.7
36,3.7,3,3,3,3,1.55
178.6,5,3,2,2,2,1.6
100,5,7.5,3,3,4,6.9
42,4,3,3,,,3.2
300,,,,,,2.9
70,4,8,1,3,2,6
85,,,3,,,7.5
121,4.3,15,2,,,8.3
75,,12,3,3,3,6.45
40,4,,5,3,,7.6
94,,,,,,4.6
89,,,,,,9
60,4.6,3.5,1,,,3.85
52,5,13,5,6,4,6.3
80,,8,3,3,2,8.9
61,,,3,4,3,9.1
39,5.5,3,4,3,3,6.7
116.7,5.4,30,,2,2,10
38,5.5,10,4,4,3,5.8
38,5.6,3.5,4,3,3,6.6
33,3,,4,6,4,9.9
105,,8,3,5,4,3.85
40,4,3,2,2,2,3.7
80,4,10,4,5,6,9.5
27,,,2,2,2,5.5
80.2,5,15,4,5,5,5.79
43,,,6,4,5,5.7
128,,,2,,,2.5
40,,,4,,,7.2
30,,,4,3,3,5.45
44.2,3.9,,4,3,3,8.7
90,4.5,15,3,4,4,9.8
112,5.6,,2,6,6,7.99
125,5,33,3,9,9,6.75
35,4.2,,4,4,3,7.25
70,5,5,3,5,5,5.1
39,,,4,,,4.19
135,5,10,,,,7.25
31,,,6,,,7.5
62,6.36,,1,1,1,2.15
45,,,6,3,5,8.45
60,4,12,,,,7.3
18,3,3,3,2,2,2.6
66,5.3,,2,2,2,6.69
30,,,5,3,,5.48
31,3.4,,,,,3.63
90,4.5,5,3,3,,4.2
65,4,6,4,4,5,8.59
35,,,3,3,3,6.3
30,4,4,3,3,3,5.2
14,3,3,2,1,2,2.2
50,4,12,5,6,4,9.3
45,,,,3,2,4.3
65,4,2,4,4,4,8.8
120,6,24,3,3,4,8.6
75,,,5,,,6.5
40,4,5,2,2,2,2.35
38,,,4,2,4,8.5
37,,,3,3,4,3.1
82,5.6,3,5,6,4,9.8
66,,4.5,4,4,4,6.9
32.49,2.85,,,3,4,7.9
32,,,,2,2,2.9
138,8,16,,2,3,5.7
40,3.5,2,5,5,4,6.8
35,4,3,5,3,4,4.6
157,5,4,1,3,2,1.52
48,4,,2,2,3,4.85
68,,,,,,6.35
60,,,2,,,3.86
75,7,5,1,2,1,1.15
40,4,5,1,2,2,1.98
342,,,,4,2,8.2
60,4,,5,,,7.6
73,,,2,3,3,3.15
91,,,2,2,2,6.8
45,5,,2,2,2,4.35
84,7,8,,3,3,4.9
120,8,12,4,5,6,9
160,14,14,1,3,3,4.65
87.5,5,11.5,4,4,4,5.29
41,3.6,,4,5,5,6.5
48,6,,3,3,3,6.5
50,4,,4,5,,4.95
30,3.61,,5,3,4,6.6
42.01,3.56,3,2,2,2,3.2
40,3.5,,5,6,4,5.95
50,4,,4,4,3,4.95
102,,18,4,3,2,4.75
35,,,5,3,5,5.1
40,4,,5,5,3,5.75
40,,,4,,,4.7
51,4,,1,2,1,4.5
92,7.55,3,3,3,3,2.7
30,3.9,,5,3,4,5.5
199.7,5.2,,,,,9
43.7,,6,,,,7.2
60,3.52,2,4,5,3,7.98
47,5,8,5,6,5,9
58,,1.5,5,,,9.8
43.4,,8,7,5,5,10
48.5,4.5,,4,4,4,7.85
48,6,,3,6,3,9.5
39,3.5,,4,5,4,8
97,5.46,6,,1,2,3.95
64,4,13,,,,7.3
35,4.8,3,2,2,2,2.35
96,6,50,4,5,5,6.5
59,4.6,8,4,5,6,10
47,3.9,,4,3,4,7.8
72,4.2,,,,,9
40,,,,,,6
76,,,2,3,2,6.85
28,3.2,,5,4,4,7.98
84,4,,,2,2,4.5
75,5,12,4,6,4,7.7
260,,3,,,,2.8
112,8,20,3,4,,5.9
62,5,,,2,1,1.45
100,5,,1,3,,1.59
34,4.2,,5,3,3,6.5
120,4.5,,2,4,2,8.25
44,,,3,2,2,6.75
35,,,2,2,2,3.2
62.8,3.64,,,,,8.7
64,,,4,4,4,9.45
22,,,2,2,2,2.6
92,3.7,,3,4,3,4.5
46,,,,,,9.66
62.5,,,3,4,5,6.3
45,3,2.5,5,6,4,8
45,4.5,3,5,5,4,6.7
64.1,3.5,12,,4,2,8
81,6,,4,4,3,7.5
225,,,,8,6,6.4
50,5,6,4,4,3,4.85
37,,,4,4,4,7.2
300,,,,3,2,7
115,6,18,,2,2,9.5
80,5,7,3,4,3,4.55
40,5.1,,4,4,3,6.8
103.33,,,3,4,3,6
150,7.5,6,,1,1,6.2
120,7,12,2,3,3,7
30,3.5,10,5,3,4,7.98
112.5,,,2,2,2,5.5
38,3.5,3,4,3,3,5.1
52,5,5.5,2,2,2,3.08
65,,,1,2,1,5
75,5,12,3,3,4,5.24
500,,16,,,2,6.8
54,4.5,7,4,4,4,4.99
60,,4,2,3,,5.4
100,,,2,3,2,3
30,,,2,2,2,3.15
170,10,12,3,3,4,8.9
75,5,13,5,4,4,8.3
270,,,,2,1,3.6
62,5,3.5,2,2,1,1.45
60,,,4,4,3,3.95
56,3.5,,2,3,2,7.58
63,,,2,3,,4.3
34,,,5,5,4,9
527,10,10,1,2,1,3.5
16,3.3,3.3,3,2,3,3.45
86,14,14,1,3,2,2.7
28,,,,,,6
132,,,,,,9.75
100,5,7.5,4,,,5.1
38,,,7,3,6,9.2
60,5,20,4,,,3.1
170,,,,4,3,6.3
150,,,,,,6.5
150,7.5,7.5,2,4,3,9.8
111,5,8,1,3,1,5.15
150,,14,3,,,5.3
100,5,60,,,,6.1
62,4.35,,3,3,3,4.9
42,4.2,6,4,4,3,5.7
50,4.5,,5,4,5,9
38,3.6,,5,4,4,2.95
41,4,,5,4,5,3.95
29,3.1,3,5,3,4,4.58
37,,,5,5,4,6.25
50,,,,,,2.55
65,4,4,4,4,4,3.85
38,3.6,,5,4,3,2.95
98.4,6,13,4,3,4,8.5
50,8,,,,,9.4
75,5,8,,2,,3.25
61,,,5,5,,9.95
53,4,8,3,4,3,5.69
47,4.2,4,2,2,2,4.15
64,4,3,3,4,2,5.4
42,4.2,3,4,4,4,7.7
33,6.1,2,5,3,3,4.55
75,,,,2,1,2.4
30,3,3,5,3,4,5.3
47,4.1,,4,5,6,7.2
93,,10,1,3,2,2.5
82.9,,,1,4,4,4.2
35,,,5,3,4,5.2
150,12,,2,3,2,4.5
105,7,30,3,4,3,7
88,4.4,20,4,6,7,8.95
53.3,,,3,3,2,5.9
52,4,,4,3,3,9.3
93,4,4,4,4,4,7.5
68,5,5,4,4,4,7
150,,,3,3,,6
88,5.5,13.5,,,,7.1
95,6,,4,3,4,7.65
110,6.8,5.5,3,3,3,8.7
48,5,40,2,2,2,10
100,5,7.5,4,8,8,7.7
104,,,3,3,4,7.1
100,5,7.5,3,3,3,5.5
40,3.8,2,1,1,1,2.25
33,3.4,,6,,,6.9
106,,,2,6,6,6.9
36,3.4,3.4,2,2,2,4.3
44,,,4,3,4,4.85
24,3.7,2,4,3,2,3.7
50,3.7,14,4,3,3,7
112,,7.5,3,3,4,7.5
483,18,7,2,4,3,9.2
49.7,,5,7,7,8,8.5
46,,,,,,9.6
100,5,5.5,2,4,2,3.2
91.6,,,2,2,1,6.35
75,,,2,3,2,1.68
55,,2.5,3,3,3,5.8
32,3.6,,4,3,3,3.9
32,,,5,,,3.6
90,4.7,3,2,6,3,4.7
30,,,4,4,3,6
60,,,4,4,5,8.59
46,3.5,3.5,2,2,3,6.1
32,4,,5,3,4,5.5
69.8,,,2,,,5.7
33,3.4,12,7,8,7,6.9
88,4,8,4,5,5,9.6
47,5.2,,2,,,8.5
100,5,5,2,3,2,2.85
58.5,,,3,4,3,5.7
87,,,,2,1,1.85
35,,,1,2,1,1.95
80,5,,4,,,8
26,3.1,,5,,,7.98
80,5,12,3,4,5,4.65
32,3.3,,4,,,5.5
95,5,7.5,3,3,3,7
68,16,16,,2,2,3.1
30,3,2.9,4,4,3,6.15
100,5,7,3,3,2,2.15
90,8,12,,,,5.8
42,,6,5,4,5,8.89
90,5,,3,4,3,7.68
34,3.6,2.5,5,4,,5.72
106.7,,,,1,2,7.5
70,5.5,,3,3,3,4.7
32.1,4.1,,6,,,6
43,4.1,,,,,5
539,,5,,,,4.2
30,,,5,3,4,7.98
120,5,,3,4,2,6.8
42,,,5,3,3,6.95
75,,,1,2,2,3.88
33,,,5,,,3.9
34,3.5,2.3,3,3,2,2.4
37,4.2,,5,,,5.9
83.2,,,3,5,6,6.5
87,4,10,2,3,3,8.5
50,4,2,2,3,2,4.3
99.9,10,,3,,,6.95
113,4,8,3,3,3,6.6
36,4,,3,4,,4.7
85,,,,3,2,5.58
35,3.5,4,2,2,2,4.8
44,4,5,2,2,2,3.2
160,8,13,2,3,3,4.95
120,,14,1,3,3,3.9
30,3,,3,3,2,5.5
34.9,3.8,6,2,2,2,1.55
100,4.4,5,2,3,2,3.5
71,,,,,,4.5
57,,5,3,3,3,7.3
100,,15,3,4,4,5.8
133,5,6,2,8,8,6.8
80,,5,3,4,5,6.4
22,3.5,4,4,2,3,4.35
40,,,3,3,2,5.3
74.5,5.5,13,,,,8.5
100,5,15,3,4,5,5.81
43,,,5,,,6.5
75,5,9,4,4,4,5.5
59,,,,,,7.2
90,,,,,,6
72,6.2,4,4,4,5,6.7
134,4,,2,2,2,6.98
98,,,,6,7,9.2
82,4,8,3,3,4,6.2
42,4.3,,1,1,1,4.85
100,,,,,,5.5
84,4.2,8,1,1,1,3.7
75,5,5.5,4,4,4,7.6
32,,,3,3,2,3.05
40,,,5,4,3,10
150,,,2,4,,6.9
60,4,10,4,4,5,6.15
90,13,13,2,3,2,2
68,,,3,4,,6.5
44,3.45,3,2,3,2,5.45
18,,,5,2,3,1.75
46,,,4,4,,6.5
100,,24,4,,,3.4
90.6,6.3,4,2,3,2,2.6
100,5,5,3,3,4,4.35
71.5,3.6,3,1,2,1,2.4
56,4.68,5,3,3,3,3.35
100.8,3.8,13,1,2,1,4.5
90,4.5,5.5,2,3,2,5.5
40,4,,5,4,5,6.5
55,,,5,8,8,9.15
45,,,5,4,3,7.65
33,,,3,3,2,1.71
32,,2,3,3,2,3.05
42,4.2,20,3,3,3,7.1
59,,5,3,4,4,7.9
180,9,15,3,4,4,9.8
56,,,4,6,6,7.8
95,,,4,6,7,7
41,,,5,,,5.5
99,6,12,2,2,3,2.85
62.5,5,13,5,4,4,7.6
56,3.5,3,4,4,3,8.5
45,4,,6,4,3,8.5
67.5,4.5,10,4,3,4,4.5
37,,,5,3,4,6.3
40.3,,,4,6,6,8.5
35,,2.5,6,3,4,5.6
56,4,7,4,4,5,6.3
12,3,35,,2,,3.2
42,,,4,4,3,7.5
61,5,5,2,2,2,2.3
52,4,5,3,4,2,4.86
71,4,4,3,4,4,7.8
416,,,1,2,2,2.35
78,7.5,6,4,3,4,9.2
125,,,,,,10
30,3.5,,5,3,4,7.98
40,,,2,3,2,4.8
17,4,,,,,3.1
42,7,,,2,1,2.5
52,,,3,3,3,2.6
420,13.5,4,,2,2,3.45
80,4,12,2,2,2,6.99
63,,13,5,,,7.3
50,7,,3,3,2,5.3
59,,,3,,,5.4
92.5,5,,2,3,2,4.9
27,,3,2,2,2,2.95
44.88,3.4,,2,2,2,6.5
26,,,5,3,4,7.98
44,4.1,5,2,3,2,5.19
57,,,3,3,3,5.1
35,,2.5,5,3,4,5.3
50,,,5,,,5.8
59,4.2,4,4,4,4,6.7
60,4.8,7,5,5,5,5.85
150,,,2,2,2,2.2
35,,,5,,,5.6
60,6.2,6.2,3,3,3,5.95
30,4.3,3,5,4,3,4.15
44.5,4,5,,2,1,2.15
78,6,,,,,9.03
55,4.5,12,5,4,6,6.75
50,,,3,,,7.65
100,,,3,4,,3
100,,,4,5,4,6.8
26,,,5,,,7.98
60,4,13,3,3,4,3.9
89,,,2,2,2,6.5
41,4,3,4,4,3,8.95
21,4.8,,4,2,3,3.65
62,,,3,,,6.5
73.7,4,,2,3,2,6.7
75,,,,2,2,3.35
30,,,4,4,,5.25
86,4.5,,2,3,,5.2
30,,,5,3,4,7.98
90,4,2.5,,6,,3.4
102,5,7.5,2,3,3,8
160,12,7,,,,2.55
95,5,2.5,1,3,1,4
29,5.6,2,5,3,4,5.85
38,,,5,,,3.35
40,,,3,3,3,2.19
50,7.9,,5,,,9.49
65,,,4,4,3,8.2
110,7,,,3,,3.6
105,,7,,,,6.5
68,,8,4,,,7.5
55,,10,4,,,6.8
55,,30,2,2,2,8.9
120,,,2,,,7.68
76,,,,,,5.5
128,,,,2,2,6
67,4.3,4,2,2,2,3.9
70,,,3,4,5,5.5
102.34,7,6,2,3,3,5.4
42,4,,5,,,6.5
66,4,5,,2,2,4.15
68,,,4,,,6.8
67,6.2,,,,,8.6
42,3.5,3,4,4,3,2.3
70,3.5,8,4,6,5,8.5
22.4,4,3,1,2,2,1.3
67.5,4.5,,3,4,4,6.4
35.5,,5,5,3,,6.1
40,,,5,3,4,4.5
60,4,,4,6,6,9.4
90,5,7,2,3,2,1.8
29,3,4,5,5,4,6.2
36,,,4,3,3,3.4
67,,,4,4,5,6.49
56,5.3,8,2,2,2,6.6
119.7,6.3,7,1,2,2,6.79
276,15.54,4,,9,,6.25
60,,,4,4,3,5.89
39,,4,2,2,2,2.35
62,4,6,3,3,2,6.7
44,4.15,3,2,3,2,5.2
49.14,,12,3,4,5,5.25
40,4,,,,,1.18
52,3.8,2.5,4,5,4,4.29
40,,,,2,2,1.85
56,,,,2,2,3.1
32,,,5,3,4,7.96
40.3,3.9,,6,5,5,9.6
50,4,3,5,8,7,7.9
35,4,3,5,3,4,3.5
54,4.5,,5,6,,6.8
50,5.35,,4,2,3,10
58.5,4.5,8,3,6,5,8.6
45,4.5,3,5,4,4,6.1
52,3.4,,2,3,2,2.25
32,3.3,3,5,3,4,2.98
72,4.5,,2,,,4.3
57,,,2,3,2,4.9
90,5,6,1,,,7.8
53,,,5,6,4,6.4
81,,,4,4,3,10
34,3.2,3,5,3,4,5.33
40,4,8,2,2,2,1.75
52,4,4,4,4,4,10
65,,,5,6,4,6.5
34,4,2,5,3,4,3.34
75,5,11.5,4,6,7,4.2
168,4,6,,3,3,1.6
31,4,2,5,3,4,3.35
63.6,5,7,1,,,2.15
52,4,3,5,6,6,7.5
328,17,5,1,1,1,1.65
40,4,,2,2,2,1.48
60,5,5.5,4,4,4,10
38,4,,6,6,6,8
50,4,,5,4,,7.3
50,10,,5,6,,7.1
60,4,,5,4,3,9.7
81,5,7,2,3,3,3.6
72.4,12,12,3,4,4,8.9
90,5,5.5,,,,5
30,3.5,3,5,3,4,7.89
108,4,12,4,5,6,6.5
61,,2,1,2,1,2.75
62.9,5.5,,2,,,6.2
64,4,6,2,3,3,4.8
80,4,6,2,3,2,4.1
100,5,25,3,4,4,4.29
70,3.5,8,4,6,4,8.5
74,,,4,5,5,7.3
66.1,5,5,2,3,2,2.15
157,,,,,,6.1
52.6,3,3,2,2,3,4.78
49,3.6,3.5,2,3,2,1.65
58,,,3,3,,9.5
50,5,3,7,,,9
33,,,5,3,4,5.5
93.5,,25,2,2,2,5.9
153,,,,,,6
100,5,3,2,3,2,1.75
44,4,4,,2,,4.45
64.8,3.6,2.5,3,3,3,6.2
36,,,5,4,4,9.5
33,,,5,,,5.9
40,3.5,3,4,4,3,3.2
100,,,3,3,,3.1
30,,,5,3,3,5.86
50,4,4,4,5,3,3.5
450,15,,,,4,5.2
60,,,3,,,9.6
43,4.1,,5,4,4,7.95
42,,,4,,,4.35
40,,,2,2,2,2.4
64,,5,2,3,,1.56
